records,,,,,,,,,,,,,,
4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png, Carceral Imagery: Flags  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Thin Blue Line TBL  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,
10293822_596835170424503_5057531113364592117_o.jpg, Events,,,,,,,,,,,,,
17952605_284471315313834_8782689658364366923_n.jpg,,,,,,,,,,,,,,
22555716_147284332553583_4113913269255561859_o.jpg, Community: miscellaneous (3)  , Elements: Earth,,,,,,,,,,,,
26240908_167154343899915_3970528792094965880_o.jpg, Elements: Earth  , World-building: miscellaneous (6),,,,,,,,,,,,
32293763_10214448931650476_7237413969894309888_n.jpg, Art: miscellaneous (11)  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Carceral Imagery: Prison Imagery: Bars  , Protests/Marches: miscellaneous,,,,,,,,,
146487428_240847374179489_1215282544036179661_n.jpg, Community: miscellaneous (3)  , Community: Organizations: CCM  , Geography: Knoxville,,,,,,,,,,,
200997542_10159703194794170_6889374223849340691_n.jpg, Community: Organizations: CCM  , Geography: Knoxville,,,,,,,,,,,,
206456467_321873892743503_7459588825591461184_n.jpg, Events  , Slogans: No Jails/Bail,,,,,,,,,,,,
AbolitionConferencePoster_smaller.jpg, Art: Artisits: Ricardo Levins Morales  , Art: Posters  , Elements: Fire  , Events,,,,,,,,,,
aiu_PelicanBay_redesign286.jpg, Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Elements: Earth  , Environment,,,,,,,,,,
C5A5123C-BAD3-4235-8F5E-C644048DFE94.jpg, Academia: miscellaneous (4)  , Academia: UTK Campus  , Academia: UTK Campus: UT  , Protests/Marches: Megaphone  , Protests/Marches: miscellaneous  , Protests/Marches: Power Fist,,,,,,,,
CDR_2020_Creditsphoto_OlivierBousquet-P8300242.jpg, Art: miscellaneous (11)  , Art: Mural  , Elements: Earth  , Slogans: No Jails/Bail  , World-building: miscellaneous (6),,,,,,,,,
Chains 1.png,,,,,,,,,,,,,,
Chains 2.png,,,,,,,,,,,,,,
Chains 3.png, Art: miscellaneous (11)  , Art: Painting  , Carceral Imagery: Chains  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Carceral Imagery: Prison Imagery: Bars,,,,,,,,
Chains 4.png,,,,,,,,,,,,,,
Chains 5.png, Academia: miscellaneous (4)  , Carceral Imagery: Chains,,,,,,,,,,,,
Earth 1.png, Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Earth  , Elements: Earth: Growth  , Elements: Water,,,,,,,,,
Earth 2.png,,,,,,,,,,,,,,
Earth 3.png, Elements: Earth  , Elements: Earth: Growth  , Labor  , World-building: miscellaneous (6),,,,,,,,,,
Earth 4.png,,,,,,,,,,,,,,
Earth 5.png, Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Earth  , Elements: Earth: Growth  , World-building: miscellaneous (6),,,,,,,,,
Earth 9.jpg, Art: miscellaneous (11)  , Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Butterflies  , Slogans: miscellaneous (7),,,,,,,,,
Earth 6.png, Apparel/Embodiment  , Elements: Earth  , Elements: Earth: Growth  , Elements: miscellaneous (8)  , Geography: Toronto,,,,,,,,,
Fire 1.png, Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Earth: Animals: Pigs  , Elements: Fire  , Slogans: FTP  , Slogans: miscellaneous (7),,,,,,,,
Fire 2.png, Art: miscellaneous (11)  , Art: Stickers  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Fire,,,,,,,,,
Fire 3.png,,,,,,,,,,,,,,
Fire 4.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Elements: Fire  , Slogans: miscellaneous (7),,,,,,,,,,
Fire 5.png, Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Elements: Fire  , Protests/Marches: miscellaneous  , Slogans: No Jails/Bail,,,,,,,,,
Fire 6.png, Carceral Imagery: Barb Wire/Fences/Walls  , Carceral Imagery: miscellaneous (5)  , Elements: Fire  , Slogans: No Jails/Bail,,,,,,,,,,
IMG_1962.jpg, Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: Highlander  , Elements: Fire  , Elements: miscellaneous (8)  , Environment,,,,,,,,
IMG_5656.jpg,,,,,,,,,,,,,,
IMG_7654.jpg, Art: Graffiti  , Art: miscellaneous (11)  , Protests/Marches: Power Fist  , Slogans: miscellaneous (7),,,,,,,,,,
MacPhee_CopCarRiso1500.jpg, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Fire  , Elements: Water,,,,,,,,,
PNG image 40.png,,,,,,,,,,,,,,
PNG image 81.png, Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Slogans: DDD  , Slogans: miscellaneous (7)  , World-building: miscellaneous (6),,,,,,,,
PNG image 126.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Slogans: DDD  , Slogans: miscellaneous (7)  , World-building: miscellaneous (6),,,,,,,,
PNG image 180.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Earth: Growth  , World-building: miscellaneous (6),,,,,,,,,
PNG image 206.png, Elements: Fire  , Slogans: miscellaneous (7),,,,,,,,,,,,
PNG image 239.png, Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Snake  , Elements: Earth: Land Back/Pipelines  , Elements: Water,,,,,,,,,
PNG image 242.png, Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Snake  , Elements: Earth: Land Back/Pipelines,,,,,,,,,,
PNG image 309.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,
PNG image 311.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,,
RPS Task Force Values Document.jpg, Art: miscellaneous (11)  , Community: Accountability  , Community: miscellaneous (3)  , Community: Safety  , Infrastructure/Needs: miscellaneous (10),,,,,,,,,
scott-olson11.w529.h352.2x.jpg, Carceral Imagery: Police Imagery  , Elements: Fire  , Environment  , Protests/Marches: miscellaneous  , Violence: Police Violence,,,,,,,,,
Scrawl 1.png, Art: Graffiti  , Art: miscellaneous (11)  , Geography: Vancouver  , Slogans: FTP  , Slogans: miscellaneous (7),,,,,,,,,
Screen Shot 2017-09-29 at 8.52.30 AM.png, Art: miscellaneous (11)  , Elements: Earth  , Elements: Earth: Growth,,,,,,,,,,,
Screen Shot 2020-10-26 at 5.34.07 AM.png, Art: miscellaneous (11)  , Art: Posters  , Elements: Fire,,,,,,,,,,,
Screen Shot 2021-10-12 at 1.04.18 PM.png, Elements: Earth  , Elements: Earth: Growth  , Elements: Earth: Land Back/Pipelines  , Elements: Fire  , Environment  , Infrastructure/Needs: miscellaneous (10),,,,,,,,
Screen Shot 2021-10-12 at 1.05.39 PM.png, Archival/Era: 1990s  , Art: miscellaneous (11)  , Elements: Fire  , Elements: miscellaneous (8)  , Protests/Marches: miscellaneous,,,,,,,,,
Screen Shot 2021-10-12 at 1.07.25 PM.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Fire  , Elements: Sky/Void: Rainbows,,,,,,,,,
Screen Shot 2021-10-12 at 1.08.47 PM.png, Art: miscellaneous (11)  , Elements: Fire  , Protests/Marches: miscellaneous,,,,,,,,,,,
Screen Shot 2021-10-12 at 1.09.42 PM.png,,,,,,,,,,,,,,
Screen Shot 2021-10-12 at 1.14.17 PM.png, Community: Organizations: Highlander  , Elements: Fire  , Geography: Appalachia,,,,,,,,,,,
Screen Shot 2021-10-12 at 1.20.19 PM.png, Art: miscellaneous (11)  , Community: Safety  , Elements: Fire  , Elements: miscellaneous (8)  , Environment  , Labor,,,,,,,,
Screen Shot 2021-10-12 at 1.22.19 PM.png, Art: miscellaneous (11)  , Elements: Air  , Elements: Earth  , Elements: Earth: Growth  , Elements: miscellaneous (8)  , Geography: Toronto,,,,,,,,
Screen Shot 2021-10-12 at 1.27.28 PM.png, Art: miscellaneous (11)  , Art: Posters  , Elements: Fire  , Elements: miscellaneous (8)  , Elements: Water,,,,,,,,,
Screen Shot 2021-10-12 at 1.28.08 PM.png, Art: miscellaneous (11)  , Crime/Law Breaking  , Elements: Fire  , Protests/Marches: miscellaneous,,,,,,,,,,
